ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20160107,981.1915,981.1915,938.1945,940.7744,991.5108,-50.7364,-5.1171,174761.1,194869.4935
000001.SZ,20160108,963.9927,970.8723,937.3346,956.2533,940.7744,15.478899999999953,1.6453,747527.58,831334.5462
000001.SZ,20160111,945.934,952.8135,918.4159,925.2954,956.2533,-30.957899999999995,-3.2374,732013.99,800683.641
000001.SZ,20160112,931.315,938.1945,914.9762,929.5951,925.2954,4.29970000000003,0.4647,561642.3,605970.837
000001.SZ,20160113,936.4747,940.7744,920.1358,920.9957,929.5951,-8.599399999999946,-0.9251,391709.48,424371.6977
000001.SZ,20160114,910.6765,928.7352,901.2171,926.1554,920.9957,5.15969999999993,0.5602,666314.54,708535.0047
000001.SZ,20160115,916.696,928.7352,896.0575,899.4972,926.1554,-26.658199999999965,-2.8784,448202.14,474908.142
000001.SZ,20160118,889.178,908.0966,885.7382,895.1975,899.4972,-4.29970000000003,-0.478,421040.88,439917.8162
000001.SZ,20160119,898.6373,927.0153,895.1975,920.9957,895.1975,25.798200000000065,2.8818,501109.08,532074.6995
000001.SZ,20160120,920.1358,928.7352,897.7774,906.3768,920.9957,-14.618900000000053,-1.5873,603752.5,640968.9469
000001.SZ,20160121,901.2171,924.4355,887.4581,887.4581,906.3768,-18.918700000000058,-2.0873,606145.11,638127.8768
000001.SZ,20160122,894.3376,898.6373,878.8587,894.3376,887.4581,6.879500000000007,0.7752,466752.14,482984.4504
000001.SZ,20160125,894.3376,897.7774,888.318,891.7578,894.3376,-2.5797999999999774,-0.2885,376431.72,390734.8767
000001.SZ,20160126,887.4581,887.4581,847.9008,848.7608,891.7578,-42.99699999999996,-4.8216,647901.14,653561.5934
000001.SZ,20160127,853.9204,858.2201,825.5424,849.6207,848.7608,0.8599000000000387,0.1013,569037.05,558510.6409
000001.SZ,20160128,844.4611,850.4807,829.8421,833.2819,849.6207,-16.338800000000106,-1.9231,302540.78,296055.3192
000001.SZ,20160129,837.5816,866.8195,833.2819,859.94,833.2819,26.658100000000104,3.1992,544435.76,540544.4596
000001.SZ,20160201,858.2201,860.7999,837.5816,842.7412,859.94,-17.198800000000006,-2.0,417732.14,412635.6426
000001.SZ,20160202,842.7412,862.5198,841.0213,855.6403,842.7412,12.899099999999976,1.5306,369104.16,367360.4997
000001.SZ,20160203,847.0409,850.4807,840.1614,847.0409,855.6403,-8.59940000000006,-1.005,274572.17,269997.8356
000001.SZ,20160204,850.4807,859.94,849.6207,855.6403,847.0409,8.59940000000006,1.0152,373099.47,370586.1875
000001.SZ,20160205,856.5002,857.3602,852.2005,853.0605,855.6403,-2.5797999999999774,-0.3015,270893.34,269184.3835
000001.SZ,20160215,830.702,847.0409,829.8421,841.8813,853.0605,-11.179200000000037,-1.3105,278499.46,271173.3724
000001.SZ,20160216,846.181,862.5198,845.321,860.7999,841.8813,18.91859999999997,2.2472,428386.38,427507.7742
000001.SZ,20160217,862.5198,878.8587,859.0801,872.8391,860.7999,12.03920000000005,1.3986,585167.06,590538.9188
000001.SZ,20160218,875.4189,878.8587,867.6795,867.6795,872.8391,-5.159600000000069,-0.5911,406178.24,412337.5698
000001.SZ,20160219,867.6795,871.9792,859.0801,863.3798,867.6795,-4.299699999999916,-0.4955,318898.25,320939.652
000001.SZ,20160222,871.1192,886.5981,865.0996,884.8783,863.3798,21.498499999999922,2.49,617739.45,630251.5145
000001.SZ,20160223,884.8783,884.8783,864.2397,870.2593,884.8783,-14.618999999999915,-1.6521,425874.37,432315.3114
000001.SZ,20160224,865.0996,872.8391,860.7999,872.8391,870.2593,2.5797999999999774,0.2964,300103.6,302498.0261
000001.SZ,20160225,870.2593,871.1192,825.5424,831.562,872.8391,-41.27710000000002,-4.7291,622072.84,615004.7433
000001.SZ,20160226,840.1614,845.321,830.702,841.8813,831.562,10.319299999999998,1.241,392154.41,382634.6627
000001.SZ,20160229,841.8813,843.6011,810.0635,822.1026,841.8813,-19.778699999999958,-2.3493,566896.39,542183.9718
000001.SZ,20160301,827.2623,840.1614,823.8225,834.1418,822.1026,12.039199999999937,1.4644,377910.8,365149.008
000001.SZ,20160302,838.4415,871.1192,835.8617,868.5394,834.1418,34.39760000000001,4.1237,676613.73,673626.2293
000001.SZ,20160303,867.6795,875.4189,863.3798,869.3993,868.5394,0.8599000000000387,0.099,553089.4,559045.2016
